"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976429359356580155","Thu Oct 09 23:27:34 +0000 2025","0","Sejak ada penambahan traffic light laluan pergi kerja tiap hari kena bangun extra awal sbb nak elak jem &amp; sempat sampai kilang before 7.50am. Dan additional route ke taska rayyan sbb dia dah start duk taska balik. Selalu pukul 6 baru kejutkan Rayyan Inara &amp; laki aku.","1976429359356580155","","","in","","0","1","0","https://x.com/undefined/status/1976429359356580155","913974974",
"1976426947564667136","Thu Oct 09 23:17:59 +0000 2025","1","355 hari Presiden @prabowo Monitor Yth Bpk Presiden @prabowo @DPR_RI @KejaksaanRI @Gerindra Kilang minyak harus banyak Agar BBM tdk impor dari Singgapur Reformasi pertamina utk stop BBM langka di Indonesia yg kaya sumber tambang BBM nya. https://t.co/HWWLLhDQqh","1976426947564667136","https://pbs.twimg.com/amplify_video_thumb/1976426147832627200/img/yAcqoA6JGQjuJzBG.jpg","","in","","1","0","0","https://x.com/undefined/status/1976426947564667136","1604776817344544768",
"1976051472782721274","Thu Oct 09 22:57:46 +0000 2025","1","@Bambangmulyonoo Malaysia punya kilang dimaksimalkan sedangkan diindo import dari negri tetangga yg gk punya minyak sungguh ajaib negri wakanda","1976421859328749658","","Bambangmulyonoo","in","","0","0","0","https://x.com/undefined/status/1976421859328749658","830087634709942273",
"1976259603823255821","Thu Oct 09 22:11:49 +0000 2025","0","@LahrianSyahilla Pertamina juga memperkuat sektor hilir melalui peningkatan kapasitas dan efisiensi kilang. Salah satu proyek strategis nasional yang menjadi prioritas","1976410297415184767","","LahrianSyahilla","in","","0","0","0","https://x.com/undefined/status/1976410297415184767","757385010391449600",
"1975837834847363469","Thu Oct 09 19:30:31 +0000 2025","1","@chunli7 Tak salah beli rumah dan tak salah tak beli rumah. Yang salah sorang beli rumah sampai 20 30 bijik. Rumah bukan untuk investment tapi adalah keperluan. Nak invest peegi beli tanah beli kedai beli kilang. Kerajaan kena limitkan 1 individu boleh ada max 3-5 rumah kediaman je.","1976369706518053217","","chunli7","in","","0","0","0","https://x.com/undefined/status/1976369706518053217","835218650",
"1976360892804804771","Thu Oct 09 18:55:30 +0000 2025","0","Kalau overcapacity kilang seharusnya produksi BBM jg melimpah stock mencukupi dan tidak perlu impor lagi. Dan harga BBM jg tidak mahal. https://t.co/nxmucCk30a","1976360892804804771","https://pbs.twimg.com/media/G21xwjBaAAALYRO.jpg","","in","","0","0","2","https://x.com/undefined/status/1976360892804804771","938664737369341952",
"1976335392359186715","Thu Oct 09 17:14:10 +0000 2025","0","Srs rase alone sgt² skrg ni harap dapat la keje kat benut kilang metconic hmmm","1976335392359186715","","","in","","0","0","0","https://x.com/undefined/status/1976335392359186715","1916855592414748672",
"1975947090980393131","Thu Oct 09 17:12:16 +0000 2025","0","@xdibzh @EWolfird @mojasama Tea O Ais Rm8 itu kalau premium atau tempat. Ni tepi jalan pondok haram pon Rm8...Kantin subsidi kilang pon Rm7","1976334912585380148","","xdibzh","in","","0","0","0","https://x.com/undefined/status/1976334912585380148","1334481117244612611",
"1976312236709937268","Thu Oct 09 15:42:09 +0000 2025","1","Kilang proton tu tutup sbb pindah.. tu pon aduhaii","1976312236709937268","","","in","","0","0","0","https://x.com/undefined/status/1976312236709937268","53088878",
"1976311084622704920","Thu Oct 09 15:37:35 +0000 2025","0","2️⃣ Reka Bentuk Ikonik Setiap jongkong memaparkan ukiran Lady Fortuna simbol kekayaan &amp; nasib baik direka dengan ketelitian seni Swiss. 3️⃣ Ketulenan Terjamin (999.9) Emas 24K tulen disertakan dengan certicard &amp; nombor siri unik jaminan keaslian terus dari kilang PAMP.","1976311084622704920","","","in","","0","0","0","https://x.com/undefined/status/1976311084622704920","127144556",
